date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:42	5967/5967	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:38%20GMT	https://zcube.in/xadvices/img/brand/client_icon_2.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/brand/client_icon_2.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:43	5043/5043	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:39%20GMT	https://zcube.in/xadvices/img/brand/client_icon_3.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/brand/client_icon_3.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:44	5009/5009	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:40%20GMT	https://zcube.in/xadvices/img/brand/client_icon_4.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/brand/client_icon_4.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:47	766036/766036	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:39:31%20GMT	https://zcube.in/xadvices/img/blog/inner_b1.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/blog/inner_b1.jpg	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:47	641405/641405	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:39:26%20GMT	https://zcube.in/xadvices/img/blog/inner_b2.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/blog/inner_b2.jpg	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:48	6328/6328	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:40:55%20GMT	https://zcube.in/xadvices/img/logo/f_logo.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/logo/f_logo.png	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:49	8636/8636	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:37%20GMT	https://zcube.in/xadvices/js/vendor/modernizr-3.5.0.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/vendor/modernizr-3.5.0.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:50	670206/670206	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:39:29%20GMT	https://zcube.in/xadvices/img/blog/inner_b3.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/blog/inner_b3.jpg	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:50	97163/97163	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:36%20GMT	https://zcube.in/xadvices/js/vendor/jquery-1.12.4.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/vendor/jquery-1.12.4.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:51	19188/19188	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:30%20GMT	https://zcube.in/xadvices/js/popper.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/popper.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
